 «СМЕРШ.» Х/ф (16+)| «СМЕРШ.» Т/с (16+)
«Щит и меч» Т/с|«Щит и меч» Т/с (12+)
«Щит и меч» Х/ф|«Щит и меч» Х/ф Т/с
«Щит и меч» Х/ф Т/с|«Щит и меч» Т/с
«Щит и меч» Т/с|«Щит и меч» Т/с (12+)
«Щит и меч» Т/с|«Щит и меч» Т/с (12+)
 (12+) (12+)| (12+) 
 «Когда я стану великаном» Х/ф (12+)| «Когда я стану великаном» Х/ф (6+)
 «СуперБобровы» Х/ф (16+)| «СуперБобровы» Х/ф (12+)
фаберже|Фаберже
 «Красная королева» Т/с (18+)| «Красная королева» Т/с (16+)
 «Спасти Ленинград» Х/ф (18+)| «Спасти Ленинград» Х/ф (12+)
 «Законопослушный гражданин» Х/ф (16+)| «Законопослушный гражданин» Х/ф (18+)
^s^s|^s
Я могу!|Я^sмогу!
 2»^s|^s2»^s
 3»^s|^s3»^s
 4»^s|^s4»^s
 5»^s|^s5»^s
 1»^s|^s1»^s
и всерьёз|и^sвсерьёз
паисий|Паисий
отчизны|Отчизны
Любит нe любит|Любит - нe любит
Ералаш» (0|Ералаш» (6
Ширли-Мырли|Ширли-мырли
 «^s|»^s
Время первых|Время Первых
жденные в СССР» Ко|жденные в СССР». Ко
галактики|Галактики
Страсти по андрею|Страсти по Андрею
Нофелет|нофелет
отечества|Отечества
 премьера на канале|
 III» |^sIII» 
« |«
. (| (
СМЕРШ.»|СМЕРШ»Долгая дорога в Дюнах|Долгая дорога в дюнах
Наша Russia. Яйца Судьбы|Наша Russia. Яйца судьбы
Болт и блип|Болт и Блип
Гарольд и мод|Гарольд и Мод
Вождь белое перо|Вождь Белое перо
Тариф Новогодний»|Тариф «Новогодний»
Испанский-английский|Испанский – английский
Тариф на Любовь|Тариф на любовь
Снежная королева|Снежная Королева
Судьба по имени любовь|Судьба по имени Любовь
 М/ф^p| М/ф^s(6+)^p
«ХХ век» Д/ф|«ХХ век»
Алекс лютый|Алекс Лютый
Ангелы и Демоны|Ангелы и демоны
Долгая дорога в Дюнах|Долгая дорога в дюнах
Мальчик с пальчик|Мальчик-с-пальчик
(16+) (16+)|(16+)
Праздник святого иоргена|Праздник святого Иоргена
Ты-мне, я-тебе|Ты – мне, я – тебе
Дежа Вю|Дежа вю
Токсичная Любовь|Токсичная любовь
рошфора|Рошфора
Спортивный щит родины|Спортивный щит Родины
Добро пожаловать, или посторонним вход воспрещен|Добро пожаловать, или Посторонним вход воспрещен
Дед Мороз. Битва Магов|Дед Мороз. Битва магов
Сонная Лощина|Сонная лощина
На Дерибасовской хорошая погода, на Брайтон-Бич опять идут дожди|На Дерибасовской хорошая погода, На Брайтон-Бич опять идут дожди
 «(|»^s(
Любит не люби|Любит – не люби
На Дерибасовской хорошая погода, На Брайтон-Бич опять идут дожди|На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди
Зита и гита|Зита и Гита
«Отель»Белград»|«Отель «Белград»
д’Артаньяна|Д’Артаньяна
Кольская Сверхглубокая|Кольская сверхглубокая
Прощание. Елизавета II|Прощание. Елизавета^sII
евклида|Евклида
Загадка римана|Загадка Римана
